Area,Days,Budget
Snowy,4,20000
Historical,4,20000
Snowy,8,42000
Snowy,1,5000
Hilly,4,5000
Historical,8,42000
Historical,8,20000
Historical,1,5000
Snowy,4,20000
Historical ,8,42000
Hilly,4,5000
Historical,1,5000
Snowy,8,20000
Hilly,8,20000
Snowy,8,42000
Hilly,4,5000
Historical,8,20000
Hilly,8,20000
Hilly,8,20000
Hilly,4,5000
Hilly,8,20000
Snowy,8,42000
Historical,4,5000
Coastal,1,5000
Hilly,8,42000
Historical,1,42000
Hilly,1,5000
Snowy,8,20000
Snowy,1,5000
Historical,3,5000
Snowy,8,5000
Mountain,10,45000
